zone_id,zone_name,zone_type,state,district,season,crop,suitability,crop_family,key_risks,soil_notes,climate_notes,evidence_text,source_name,source_ref,data_quality
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,bajra,MED,cereal,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Pearl millet package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/bajra,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,blackgram,MED,pulse,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Blackgram package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/blackgram,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,cotton,HIGH,fiber,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Cotton package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/fibres-1/cotton,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,greengram,MED,pulse,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Greengram package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/greengram,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,groundnut,HIGH,oilseed,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Groundnut package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds-1/groundnut,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,jute,HIGH,fiber,flood,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Jute package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/fibres-1/jute,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,maize,HIGH,cereal,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Maize package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/maize,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,pigeonpea,HIGH,pulse,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Pigeonpea package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/pigeonpea,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,rice,HIGH,cereal,flood|drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Rice package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/rice,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars,kharif,sesame,MED,oilseed,drought,district-level soil detail unavailable in source snapshot,seasonal crop guidance extracted from cited official sources,"Sesame package-of-practices page used as season reference on Government Vikaspedia portal. Localization key: state=Andaman And Nicobar Islands, district=Nicobars, lgd=603.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds-1/sesame,incomplete
